Wavmic	FluxJy	errFluxJy
2.5055	1.5456E-4	0.00192
2.5065	1.6128E-4	0.00188
2.50751	1.5861E-4	0.00183
2.50851	1.6079E-4	0.00172
2.50952	1.5713E-4	0.00169
2.51052	1.5607E-4	0.00175
2.51152	1.5821E-4	0.00184
2.51253	1.5853E-4	0.00183
2.51353	1.5776E-4	0.00182
2.51454	1.6224E-4	0.00176
2.51554	1.6578E-4	0.00184
2.51654	1.6537E-4	0.00186
2.51755	1.6976E-4	0.00194
2.51855	1.6477E-4	0.00214
2.51956	1.613E-4	0.00201
2.52056	1.7004E-4	0.00203
2.52156	1.5392E-4	0.00201
2.52257	1.5474E-4	0.0019
2.52357	1.5468E-4	0.00181
2.52458	1.5758E-4	0.00196
2.52558	1.5796E-4	0.00192
2.52658	1.6364E-4	0.0021
2.52759	1.6673E-4	0.00215
2.52859	1.6787E-4	0.00209
2.5296	1.6299E-4	0.00201
2.5306	1.6839E-4	0.00187
2.5316	1.707E-4	0.00175
2.53261	1.6424E-4	0.00179
2.53361	1.6633E-4	0.00198
2.53462	1.7186E-4	0.00191
2.53562	1.7174E-4	0.00199
2.53662	1.7741E-4	0.00194
2.53763	1.7532E-4	0.00184
2.53863	1.7551E-4	0.0019
2.53964	1.7418E-4	0.00197
2.54064	1.7536E-4	0.0019
2.54164	1.7481E-4	0.00207
2.54265	1.896E-4	0.00219
2.54365	1.817E-4	0.00205
2.54466	1.7737E-4	0.00203
2.54566	1.8152E-4	0.00217
2.54666	1.8411E-4	0.00218
2.54767	1.8499E-4	0.00214
2.54867	1.7891E-4	0.00193
2.54968	1.8249E-4	0.0019
2.55068	1.8042E-4	0.00191
2.55168	1.8332E-4	0.00215
2.55269	1.8472E-4	0.00227
2.55369	1.7917E-4	0.00191
2.5547	1.8525E-4	0.00196
2.5557	1.8753E-4	0.00212
2.5567	1.8612E-4	0.00191
2.55771	1.8599E-4	0.00191
2.55871	1.842E-4	0.00192
2.55972	1.8055E-4	0.0019
2.56072	1.8059E-4	0.00193
2.56172	1.7978E-4	0.00195
2.56273	1.8898E-4	0.00201
2.56373	1.9281E-4	0.00198
2.56474	1.9559E-4	0.00204
2.56574	2.0123E-4	0.00207
2.56674	2.027E-4	0.00237
2.56775	1.9982E-4	0.00224
2.56875	2.0579E-4	0.00221
2.56976	2.0815E-4	0.00218
2.57076	2.0238E-4	0.00215
2.57176	2.0691E-4	0.00225
2.57277	1.9927E-4	0.00223
2.57377	1.9959E-4	0.00225
2.57478	1.9739E-4	0.00215
2.57578	1.9698E-4	0.00207
2.57678	2.1355E-4	0.00213
2.57779	2.2183E-4	0.00224
2.57879	2.1331E-4	0.00206
2.5798	2.1623E-4	0.00195
2.5808	2.1893E-4	0.002
2.5818	2.1145E-4	0.0021
2.58281	2.1534E-4	0.00224
2.58381	2.1962E-4	0.00216
2.58482	2.186E-4	0.00208
2.58582	2.19E-4	0.0023
2.58682	2.1624E-4	0.00241
2.58783	2.2443E-4	0.00224
2.58883	2.2827E-4	0.00215
2.58984	2.28E-4	0.00213
2.59084	2.2422E-4	0.00219
2.59184	2.2189E-4	0.00233
2.59285	2.2677E-4	0.00241
2.59385	2.1901E-4	0.00245
2.59486	2.2113E-4	0.00235
2.59586	2.2265E-4	0.00218
2.59686	2.2726E-4	0.00206
2.59787	2.3271E-4	0.00209
2.59887	2.3181E-4	0.00205
2.59988	2.3887E-4	0.00211
2.60088	2.3826E-4	0.00218
2.60188	2.2907E-4	0.00211
2.60289	2.3781E-4	0.00218
2.60389	2.3771E-4	0.00223
2.6049	2.3772E-4	0.00226
2.6059	2.3563E-4	0.00216
2.6069	2.3931E-4	0.00237
2.60791	2.4619E-4	0.00245
2.60891	2.4808E-4	0.00251
2.60992	2.5139E-4	0.00249
2.61092	2.4594E-4	0.00227
2.61192	2.4206E-4	0.00221
2.61293	2.4572E-4	0.00221
2.61393	2.4614E-4	0.00222
2.61494	2.4596E-4	0.00223
2.61594	2.439E-4	0.00231
2.61694	2.4155E-4	0.00233
2.61795	2.3668E-4	0.00246
2.61895	2.4421E-4	0.00251
2.61996	2.4516E-4	0.00232
2.62096	2.4369E-4	0.00226
2.62196	2.4604E-4	0.00213
2.62297	2.4876E-4	0.00212
2.62397	2.5176E-4	0.00214
2.62498	2.5976E-4	0.00229
2.62598	2.5747E-4	0.00224
2.62698	2.5625E-4	0.00215
2.62799	2.5611E-4	0.00218
2.62899	2.6322E-4	0.00234
2.63	2.6307E-4	0.00236
2.631	2.6224E-4	0.00247
2.632	2.5716E-4	0.00244
2.63301	2.6674E-4	0.00256
2.63401	2.6441E-4	0.00267
2.63502	2.7081E-4	0.00267
2.63602	2.617E-4	0.00242
2.63702	2.5752E-4	0.00233
2.63803	2.516E-4	0.00225
2.63903	2.5491E-4	0.00226
2.64004	2.5837E-4	0.00245
2.64104	2.6798E-4	0.00279
2.64204	2.7074E-4	0.00303
2.64305	2.6978E-4	0.00276
2.64405	2.636E-4	0.00244
2.64506	2.7336E-4	0.00241
2.64606	2.7996E-4	0.00241
2.64706	2.779E-4	0.00235
2.64807	2.7877E-4	0.00234
2.64907	2.7875E-4	0.00244
2.65008	2.7509E-4	0.00237
2.65108	2.7468E-4	0.00249
2.65208	2.6815E-4	0.0025
2.65309	2.6687E-4	0.00233
2.65409	2.7529E-4	0.00234
2.6551	2.8584E-4	0.00259
2.6561	2.8622E-4	0.00264
2.6571	2.8295E-4	0.00244
2.65811	2.905E-4	0.00252
2.65911	2.8666E-4	0.00244
2.66012	2.9251E-4	0.00255
2.66112	2.9275E-4	0.0026
2.66212	2.8811E-4	0.00259
2.66313	2.8423E-4	0.00256
2.66413	2.9074E-4	0.00253
2.66514	2.9428E-4	0.00252
2.66614	2.9897E-4	0.00247
2.66714	2.9619E-4	0.00246
2.66815	2.9059E-4	0.00239
2.66915	2.9902E-4	0.00243
2.67016	3.1167E-4	0.00247
2.67116	3.1079E-4	0.00246
2.67216	3.0608E-4	0.00255
2.67317	2.9646E-4	0.00247
2.67417	2.9548E-4	0.00238
2.67518	2.9382E-4	0.0024
2.67618	2.9505E-4	0.00244
2.67718	2.9629E-4	0.00247
2.67819	3.0207E-4	0.00268
2.67919	3.0589E-4	0.00265
2.6802	3.0369E-4	0.00262
2.6812	3.0516E-4	0.00262
2.6822	3.0829E-4	0.00256
2.68321	3.0686E-4	0.00258
2.68421	3.0646E-4	0.0026
2.68522	3.1373E-4	0.00264
2.68622	3.1236E-4	0.00259
2.68722	3.0966E-4	0.00253
2.68823	3.1415E-4	0.0026
2.68923	3.146E-4	0.00257
2.69024	3.0989E-4	0.00246
2.69124	3.0607E-4	0.00242
2.69224	3.0341E-4	0.00251
2.69325	2.8957E-4	0.00243
2.69425	2.8546E-4	0.00233
2.69526	2.8661E-4	0.00232
2.69626	2.8936E-4	0.00235
2.69726	2.8887E-4	0.00235
2.69827	2.8609E-4	0.0024
2.69927	2.7682E-4	0.00234
2.70028	2.751E-4	0.00234
2.70128	2.7199E-4	0.00232
2.70228	2.751E-4	0.00239
2.70329	2.8409E-4	0.00246
2.70429	2.918E-4	0.00249
2.7053	2.9753E-4	0.00259
2.7063	3.0782E-4	0.00269
2.7073	3.1283E-4	0.00291
2.70831	3.1542E-4	0.00293
2.70931	3.1833E-4	0.00286
2.71032	3.1166E-4	0.00302
2.71132	3.2106E-4	0.00291
2.71232	3.2242E-4	0.00286
2.71333	3.2225E-4	0.00268
2.71433	3.2429E-4	0.00253
2.71534	3.2919E-4	0.00257
2.71634	3.3214E-4	0.00258
2.71734	3.3415E-4	0.0026
2.71835	3.3177E-4	0.00259
2.71935	3.3372E-4	0.00288
2.72036	3.1937E-4	0.00294
2.72136	3.2148E-4	0.00285
2.72236	3.2221E-4	0.00271
2.72337	3.1842E-4	0.00257
2.72437	3.236E-4	0.00266
2.72538	3.1711E-4	0.00271
2.72638	3.0738E-4	0.00275
2.72738	3.067E-4	0.00262
2.72839	3.0228E-4	0.00273
2.72939	3.1021E-4	0.0032
2.7304	3.1326E-4	0.00313
2.7314	3.0956E-4	0.00275
2.7324	3.0474E-4	0.00258
2.73341	2.9491E-4	0.00251
2.73441	2.8812E-4	0.00245
2.73542	2.9325E-4	0.0025
2.73642	2.8406E-4	0.00242
2.73742	2.8947E-4	0.00246
2.73843	2.9108E-4	0.00252
2.73943	2.9589E-4	0.00259
2.74044	3.0242E-4	0.00257
2.74144	2.9981E-4	0.00264
2.74244	3.043E-4	0.00267
2.74345	3.0446E-4	0.00262
2.74445	2.9949E-4	0.00269
2.74546	2.9217E-4	0.00268
2.74646	2.9742E-4	0.00271
2.74746	2.9429E-4	0.00265
2.74847	2.9689E-4	0.00261
2.74947	3.0592E-4	0.00263
2.75048	3.0594E-4	0.00285
2.75148	3.0515E-4	0.00285
2.75248	2.9755E-4	0.00278
2.75349	2.9361E-4	0.00266
2.75449	2.9544E-4	0.00257
2.7555	3.0172E-4	0.00267
2.7565	2.9979E-4	0.00295
2.7575	2.9781E-4	0.00285
2.75851	3.0233E-4	0.00298
2.75951	2.9743E-4	0.00291
2.76052	2.9635E-4	0.00275
2.76152	2.948E-4	0.00325
2.76252	2.9552E-4	0.00322
2.76353	3.0092E-4	0.00302
2.76453	2.9299E-4	0.00271
2.76554	2.8626E-4	0.00277
2.76654	2.9159E-4	0.00283
2.76754	2.9138E-4	0.00263
2.76855	2.9368E-4	0.0028
2.76955	2.9774E-4	0.00256
2.77056	2.9061E-4	0.00257
2.77156	2.9411E-4	0.00272
2.77256	2.9674E-4	0.00265
2.77357	2.8698E-4	0.00281
2.77457	2.7866E-4	0.00292
2.77558	2.8041E-4	0.00273
2.77658	2.7318E-4	0.00254
2.77758	2.7432E-4	0.00255
2.77859	2.8006E-4	0.00234
2.77959	2.8108E-4	0.00237
2.7806	2.7758E-4	0.00235
2.7816	2.7406E-4	0.00234
2.7826	2.6803E-4	0.00231
2.78361	2.6972E-4	0.00241
2.78461	2.6703E-4	0.0024
2.78562	2.6524E-4	0.00234
2.78662	2.6514E-4	0.00233
2.78762	2.6154E-4	0.0022
2.78863	2.5533E-4	0.00213
2.78963	2.535E-4	0.00212
2.79064	2.5525E-4	0.0021
2.79164	2.529E-4	0.00226
2.79264	2.5932E-4	0.00235
2.79365	2.6373E-4	0.00224
2.79465	2.5412E-4	0.00221
2.79566	2.4812E-4	0.00221
2.79666	2.5545E-4	0.00234
2.79766	2.5252E-4	0.00234
2.79867	2.4227E-4	0.00222
2.79967	2.298E-4	0.00212
2.80068	2.2716E-4	0.00204
2.80168	2.2558E-4	0.002
2.80268	2.2397E-4	0.00216
2.80369	2.2371E-4	0.00207
2.80469	2.3427E-4	0.00213
2.8057	2.2932E-4	0.00208
2.8067	2.2683E-4	0.00201
2.8077	2.2499E-4	0.00202
2.80871	2.2111E-4	0.00207
2.80971	2.1132E-4	0.00199
2.81072	2.0882E-4	0.0019
2.81172	2.1673E-4	0.00188
2.81272	2.1614E-4	0.00191
2.81373	2.109E-4	0.00192
2.81473	2.0315E-4	0.00188
2.81574	1.9859E-4	0.00177
2.81674	1.9793E-4	0.00171
2.81774	1.9395E-4	0.00165
2.81875	1.8664E-4	0.0016
2.81975	1.8954E-4	0.00167
2.82076	1.9204E-4	0.00167
2.82176	1.8899E-4	0.00174
2.82276	1.8875E-4	0.00165
2.82377	1.8366E-4	0.00159
2.82477	1.7881E-4	0.0015
2.82578	1.8026E-4	0.00149
2.82678	1.7792E-4	0.00144
2.82778	1.7043E-4	0.0014
2.82879	1.7628E-4	0.00147
2.82979	1.7787E-4	0.00151
2.8308	1.7441E-4	0.00149
2.8318	1.695E-4	0.00146
2.8328	1.6212E-4	0.00144
2.83381	1.5982E-4	0.00135
2.83481	1.5442E-4	0.00137
2.83582	1.5481E-4	0.00127
2.83682	1.5389E-4	0.00126
2.83782	1.5393E-4	0.00128
2.83883	1.5287E-4	0.00127
2.83983	1.4841E-4	0.00128
2.84084	1.4325E-4	0.00123
2.84184	1.3801E-4	0.00114
2.84284	1.3569E-4	0.00112
2.84385	1.3661E-4	0.00112
2.84485	1.3068E-4	0.00109
