A	ens	ol	pyr
6.52165	0.0045	0.017	6.31342E-4
6.65862	0.00391	0.01595	6.31342E-4
6.79847	0.00202	0.01155	6.31342E-4
6.94125	0.00205	0.01261	6.31341E-4
7.08703	0.00263	0.01564	0.00144
7.23588	0.00332	0.01639	0.00257
7.38784	0.00211	0.01455	0.00228
7.543	-3.18227E-5	0.01158	0.00264
7.70142	0.00576	0.00874	0.00791
7.86317	0.02595	0.00485	0.02635
8.02831	0.07878	0.00642	0.07691
8.19693	0.1752	0.01299	0.19025
8.36908	0.28598	0.04609	0.30253
8.54485	0.41395	0.1115	0.43467
8.72431	0.54946	0.2036	0.5802
8.90754	0.6916	0.33664	0.73628
9.09461	0.83435	0.5108	0.87553
9.28562	0.94784	0.68929	0.96784
9.48064	1	0.83772	1
9.67975	0.98834	0.94257	0.97807
9.88305	0.9224	0.99673	0.92943
10.09061	0.82548	1	0.86675
10.30254	0.72112	0.96752	0.79799
10.51891	0.62	0.91644	0.71775
10.73983	0.52207	0.84187	0.63225
10.96539	0.4194	0.74683	0.54032
11.19569	0.32557	0.65224	0.44877
11.43082	0.23576	0.54303	0.35461
11.67089	0.1507	0.41651	0.25485
11.91601	0.08978	0.2955	0.16591
12.16627	0.06811	0.19467	0.11959
12.42179	0.058	0.11473	0.08831
12.68267	0.05764	0.07218	0.07368
12.94903	0.06433	0.04846	0.06854
13.22099	0.06597	0.05109	0.06856
13.49866	0.06425	0.05549	0.06701
13.78216	0.06223	0.06728	0.06647
14.07162	0.06198	0.08407	0.06884
14.36715	0.06024	0.09673	0.07106
14.66889	0.06102	0.111	0.07071
14.97697	0.06506	0.12944	0.06947
15.29152	0.08439	0.18438	0.09109
15.61267	0.1122	0.25241	0.11929
15.94057	0.15672	0.33656	0.15795
16.27536	0.20815	0.41785	0.20956
16.61718	0.26345	0.48938	0.26604
16.96617	0.31512	0.53454	0.3174
17.3225	0.35147	0.55947	0.35891
17.68631	0.37676	0.56726	0.3911
18.05776	0.38977	0.56073	0.41165
18.43701	0.38646	0.53961	0.41269
18.82423	0.37322	0.51467	0.40448
19.21958	0.35426	0.48829	0.39174
19.62323	0.33247	0.46308	0.37572
20.03536	0.31021	0.44026	0.35652
20.45615	0.28779	0.41654	0.33647
20.88577	0.26724	0.39504	0.31787
21.32442	0.24833	0.37616	0.2899
21.77227	0.2303	0.35814	0.25991
22.22954	0.21455	0.34304	0.23389
22.69641	0.20093	0.33061	0.21158
23.17308	0.18849	0.31837	0.19242
23.65976	0.17746	0.30608	0.17718
24.15667	0.1668	0.29218	0.16382
24.66401	0.15668	0.27516	0.1537
25.18201	0.14697	0.25805	0.14478
